Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,AL5760,IDHW FY2022 SNAP-Ed ,Annie Roe,V00602850, Idaho Dept. of Health & Welfare,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,610776.26,126033.34,0
2,AL4896,*I* IDHW FY2021 SNAP-Ed,Annie Roe,V00602850, Idaho Dept. of Health & Welfare,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,342577.73,70690.6,0
3,AL4463,NIFA FFY20 EFNEP,Annie Roe,V00602850, National Institute of Food & Agriculture/USDA,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,207832.62,0,0
4,AL5200,USDA NIFA FY21 EFNEP,Annie Roe,V00602850, National Institute of Food & Agriculture/USDA,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,180591.59,0,0
5,AL5544,*I*IBCO FY22 Beef Consumption,Annie Roe,V00602850, Idaho Beef Council,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,21680.16,0,0
6,AL2663,USDA FS Fire Food Project,Annie Roe,V00602850, USDA Forest Service,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,19121.95,1738.35,0
7,AL3914,NIFA-FY19 IDAHO EFNEP - State,Annie Roe,V00602850, National Institute of Food & Agriculture/USDA,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,11663.17,0,0
8,AL3999,*I*IDHW FY20 SNAP-ED,Annie Roe,V00602850, Idaho Dept. of Health & Welfare,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,5002.31,1032.24,0
9,AL2297,*I*NIFA -FY18 IDAHO EFNEP - STATE P,Annie Roe,V00602850, National Institute of Food & Agriculture/USDA,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,4587.57,0,0
10,AL5329,*I*IBCO Beef Consumption,Annie Roe,V00602850, Idaho Beef Council,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,3309.18,0,0
