"","Grant Code","PI's Name","PI's Home Dept","TITLE","Sponsor","Total","IDC"
"1","AF1140","Annie Roe","CALS Family Consumer Science","*I* NIFA FY16 EFNEP State Para","National Institute of Food & Agriculture/USDA",284.27,0
"2","AG2737","Pedram Rezamand","CALS Animal, Vet & Food Sciences","NIFA Calf Stressors","National Institute of Food & Agriculture/USDA",204301.72,61291.44
"3","AG3927","Pedram Rezamand","CALS Animal, Vet & Food Sciences","*I* SFT Cattle Pelleting","Sustained Fiber Technologies LLC",44955,15044.85
"4","AG5285","Pedram Rezamand","CALS Animal, Vet & Food Sciences","USDA RUS Distance Learning","USDA Rural Utilities Service",74264.4,0
"5","AG5285C","Pedram Rezamand","CALS Animal, Vet & Food Sciences","USDA RUS Distance Learning-CS","USDA Rural Utilities Service",0,0
"6","AG5783","Pedram Rezamand","CALS Animal, Vet & Food Sciences","Alberta Calf Weaning 2","University of Alberta",25268.44,0
"7","AG6680","Amy Skibiel","CALS Animal, Vet & Food Sciences","USDA NIFA in utero smoke-RAPID","National Institute of Food & Agriculture/USDA",227751.76,55147.1
"8","AG7023","Amy Skibiel","CALS Animal, Vet & Food Sciences","USDA NIFA Fire Smoke Animal Disease","National Institute of Food & Agriculture/USDA",141390.76,40008.97
"9","AH5041","Amy Skibiel","CALS Animal, Vet & Food Sciences","NIFA Mitochondria heat stress","National Institute of Food & Agriculture/USDA",198365.91,59510.44
"10","AH6466","Shirley Luckhart","CALS Entomology,Plt Pathology,Nemat","NIH Biogenic amines","Dept. Health and Human Services",923650.03,209830.49
"11","AH7028","Shirley Luckhart","CALS Entomology,Plt Pathology,Nemat","NSF UI IHHE BVBD Course","National Science Foundation",97772.48,2435.83
"12","AH7028P","Shirley Luckhart","CALS Entomology,Plt Pathology,Nemat","NSF UI IHHE BVBD Course PI","National Science Foundation",33678.47,0
"13","AL1452","Annie Roe","CALS Family Consumer Science","*I* IDHW SNAP-Ed FY17 State Pro","Idaho Dept. of Health & Welfare",0,0
"14","AL1988","Annie Roe","CALS Family Consumer Science","*I*NIFA - FY17 Food Program - St Pa","National Institute of Food & Agriculture/USDA",85097.72,0
"15","AL2009","Annie Roe","CALS Family Consumer Science","*I* IDHW SNAP-Ed FY18","Idaho Dept. of Health & Welfare",299687.73,61840.28
"16","AL2297","Annie Roe","CALS Family Consumer Science","*I*NIFA -FY18 IDAHO EFNEP - STATE P","National Institute of Food & Agriculture/USDA",384221.97,0
"17","AL2663","Annie Roe","CALS Family Consumer Science","USDA FS Fire Food Project","USDA Forest Service",59264.66,5387.72
"18","AL2999","Annie Roe","CALS Family Consumer Science","*I* IDHW 2019 SNAP-ED State","Idaho Dept. of Health & Welfare",953112.36,196674.11
"19","AL3914","Annie Roe","CALS Family Consumer Science","NIFA-FY19 IDAHO EFNEP - State","National Institute of Food & Agriculture/USDA",391947.09,0
"20","AL3999","Annie Roe","CALS Family Consumer Science","*I*IDHW FY20 SNAP-ED","Idaho Dept. of Health & Welfare",949497.62,195927.85
"21","AL4463","Annie Roe","CALS Family Consumer Science","NIFA FFY20 EFNEP","National Institute of Food & Agriculture/USDA",394860.51,0
"22","AL4896","Annie Roe","CALS Family Consumer Science","*I* IDHW FY2021 SNAP-Ed","Idaho Dept. of Health & Welfare",968459.61,199840.7
